1	chr1
AADN04019661.1	chrUn_NT_476193v1
AADN04019667.1	chrUn_NT_476198v1
AADN04019673.1	chr4_NT_460281v1_random
AADN04019715.1	chr9_NT_461698v1_random
AADN04019659.1	chrUn_NT_476191v1
AADN04019664.1	chrUn_NT_476195v1
AADN04019776.1	chr1_NT_457517v1_random
AADN04019665.1	chrUn_NT_476196v1
AADN04019666.1	chrUn_NT_476197v1
AADN04019696.1	chr4_NT_460283v1_random
AADN04019662.1	chrUn_NT_476194v1
AADN04019669.1	chrUn_NT_476199v1
AADN04019671.1	chrUn_NT_476200v1
AADN04019677.1	chrUn_NT_476201v1
AADN04019700.1	chrUn_NT_476216v1
AADN04019725.1	chrUn_NT_476230v1
AADN04019679.1	chrUn_NT_476202v1
AADN04019681.1	chrUn_NT_476204v1
AADN04019788.1	chr1_NT_457518v1_random
AADN04019680.1	chrUn_NT_476203v1
AADN04019682.1	chrUn_NT_476205v1
AADN04019683.1	chrUn_NT_476206v1
AADN04019759.1	chr6_NT_461031v1_random
AADN04019686.1	chrUn_NT_476207v1
AADN04019699.1	chr1_NT_457509v1_random
AADN04019687.1	chrUn_NT_476208v1
AADN04019691.1	chrUn_NT_476210v1
AADN04019719.1	chr19_NT_462780v1_random
AADN04019690.1	chrUn_NT_476209v1
AADN04019692.1	chrUn_NT_476211v1
AADN04019695.1	chrUn_NT_476213v1
AADN04019723.1	chr2_NT_458788v1_random
AADN04019736.1	chr23_NT_463122v1_random
AADN04010818.1	chrZ_NT_463990v1_random
AADN04019694.1	chrUn_NT_476212v1
AADN04019698.1	chrUn_NT_476215v1
AADN04019670.1	chr2_NT_458785v1_random
AADN04019697.1	chrUn_NT_476214v1
AADN04019717.1	chr7_NT_461264v1_random
AADN04019702.1	chrUn_NT_476217v1
AADN04019735.1	chr2_NT_458789v1_random
AADN04024288.1	chr3_NT_459788v1_random
AADN04019701.1	chrW_NT_463553v1_random
AADN04019703.1	chrUn_NT_476218v1
AADN04019704.1	chr18_NT_462698v1_random
AADN04019708.1	chrUn_NT_476222v1
AADN04019705.1	chrUn_NT_476219v1
AADN04019706.1	chrUn_NT_476220v1
AADN04019738.1	chr2_NT_458790v1_random
AADN04019707.1	chrUn_NT_476221v1
AADN04019711.1	chrUn_NT_476224v1
AADN04019797.1	chr5_NT_460745v1_random
AADN04019712.1	chrUn_NT_476225v1
AADN04019722.1	chr1_NT_457512v1_random
AADN04019800.1	chr22_NT_463066v1_random
AADN04019749.1	chr1_NT_457515v1_random
KQ759733.1	chrUn_NT_476223v1
AADN04019714.1	chrUn_NT_476226v1
AADN04019716.1	chr1_NT_457511v1_random
AADN04019790.1	chrUn_NT_476273v1
AADN04019718.1	chrUn_NT_476227v1
AADN04019720.1	chrUn_NT_476228v1
AADN04019744.1	chr4_NT_460285v1_random
AADN04019721.1	chrUn_NT_476229v1
AADN04019730.1	chrUn_NT_476233v1
AADN04019726.1	chrUn_NT_476231v1
AADN04019727.1	chrUn_NT_476232v1
AADN04019728.1	chr1_NT_457513v1_random
AADN04019731.1	chrUn_NT_476234v1
AADN04019757.1	chr4_NT_460286v1_random
AADN04019870.1	chr28_NT_463410v1_random
AADN04019748.1	chr1_NT_457514v1_random
AADN04019729.1	chr4_NT_460284v1_random
AADN04019732.1	chrUn_NT_476235v1
AADN04019733.1	chrUn_NT_476236v1
AADN04019794.1	chr8_NT_461533v1_random
AADN04011571.1	chrZ_NT_464005v1_random
AADN04019734.1	chrUn_NT_476237v1
AADN04019737.1	chrUn_NT_476238v1
AADN04019753.1	chr1_NT_457516v1_random
AADN04019760.1	chr5_NT_460744v1_random
AADN04019859.1	chr1_NT_457524v1_random
AADN04019811.1	chr2_NT_458794v1_random
AADN04019739.1	chrUn_NT_476239v1
AADN04019740.1	chrUn_NT_476240v1
AADN04019773.1	chrUn_NT_476261v1
AADN04019742.1	chrUn_NT_476241v1
AADN04019743.1	chrUn_NT_476242v1
AADN04019745.1	chrUn_NT_476243v1
AADN04019746.1	chrUn_NT_476244v1
AADN04019756.1	chrUn_NT_476250v1
AADN04019783.1	chr3_NT_459640v1_random
AADN04019817.1	chr1_NT_457520v1_random
AADN04014021.1	chrZ_NT_464041v1_random
AADN04019750.1	chrUn_NT_476245v1
AADN04019751.1	chrUn_NT_476246v1
AADN04019821.1	chr5_NT_460747v1_random
AADN04019752.1	chrUn_NT_476247v1
AADN04019766.1	chrUn_NT_476254v1
AADN04019754.1	chrUn_NT_476248v1
AADN04019755.1	chrUn_NT_476249v1
AADN04019758.1	chrUn_NT_476251v1
AADN04019761.1	chrUn_NT_476252v1
AADN04019762.1	chr3_NT_459639v1_random
AADN04019767.1	chrUn_NT_476255v1
AADN04019775.1	chr2_NT_458793v1_random
AADN04019778.1	chrUn_NT_476264v1
AADN04019799.1	chr5_NT_460746v1_random
AADN04019842.1	chr4_NT_460289v1_random
AADN04019769.1	chrUn_NT_476257v1
AADN04019779.1	chrUn_NT_476265v1
AADN04019764.1	chr22_NT_463065v1_random
AADN04019768.1	chrUn_NT_476256v1
AADN04019819.1	chr4_NT_460288v1_random
AADN04019824.1	chr3_NT_459642v1_random
AADN04019874.1	chr14_NT_462436v1_random
AADN04019770.1	chrUn_NT_476258v1
AADN04019771.1	chrUn_NT_476259v1
AADN04019772.1	chrUn_NT_476260v1
AADN04019780.1	chrUn_NT_476266v1
AADN04019763.1	chr4_NT_460287v1_random
AADN04019774.1	chrUn_NT_476262v1
AADN04019777.1	chrUn_NT_476263v1
AADN04019847.1	chr6_NT_461033v1_random
AADN04019781.1	chrUn_NT_476267v1
AADN04019782.1	chrUn_NT_476268v1
AADN04019784.1	chrUn_NT_476269v1
AADN04019807.1	chr7_NT_461265v1_random
AADN04019785.1	chrUn_NT_476270v1
AADN04019786.1	chrUn_NT_476271v1
AADN04019787.1	chrUn_NT_476272v1
AADN04019798.1	chrUn_NT_476276v1
AADN04019855.1	chr7_NT_461266v1_random
AADN04017414.1	chrZ_NT_464072v1_random
AADN04019789.1	chr9_NT_461699v1_random
AADN04019765.1	chrUn_NT_476253v1
AADN04019791.1	chrZ_NT_464088v1_random
AADN04019803.1	chr19_NT_462781v1_random
AADN04019792.1	chr6_NT_461032v1_random
AADN04019793.1	chr1_NT_457519v1_random
AADN04019795.1	chrUn_NT_476274v1
AADN04019796.1	chrUn_NT_476275v1
AADN04019801.1	chrUn_NT_476277v1
AADN04019804.1	chrUn_NT_476278v1
AADN04019805.1	chr3_NT_459641v1_random
AADN04019806.1	chrUn_NT_476279v1
AADN04019826.1	chr14_NT_462435v1_random
AADN04019808.1	chrUn_NT_476280v1
AADN04019809.1	chrUn_NT_476281v1
AADN04019812.1	chrUn_NT_476283v1
AADN04019829.1	chrW_NT_463554v1_random
AADN04019839.1	chr2_NT_458795v1_random
AADN04019810.1	chrUn_NT_476282v1
AADN04019813.1	chrUn_NT_476284v1
AADN04019814.1	chrUn_NT_476285v1
AADN04019836.1	chrUn_NT_476295v1
AADN04019815.1	chr22_NT_463067v1_random
AADN04019816.1	chrUn_NT_476286v1
AADN04019820.1	chrUn_NT_476288v1
AADN04019818.1	chrUn_NT_476287v1
AADN04019822.1	chr1_NT_457521v1_random
AADN04019827.1	chr10_NT_461834v1_random
AADN04019864.1	chr2_NT_458796v1_random
AADN04019823.1	chrUn_NT_476289v1
AADN04019856.1	chr1_NT_457523v1_random
AADN04019882.1	chr25_NT_463260v1_random
AADN04019895.1	chr27_NT_463360v1_random
AADN04019825.1	chrUn_NT_476290v1
AADN04019828.1	chr1_NT_457522v1_random
AADN04019920.1	chr3_NT_459644v1_random
AADN04020051.1	chr4_NT_460294v1_random
AADN04019831.1	chrUn_NT_476291v1
AADN04019865.1	chr1_NT_457525v1_random
AADN04019832.1	chrUn_NT_476292v1
AADN04019844.1	chrUn_NT_476301v1
AADN04024340.1	chr6_NT_461070v1_random
AADN04019833.1	chrUn_NT_476293v1
AADN04019834.1	chr8_NT_461534v1_random
AADN04019854.1	chr25_NT_463259v1_random
AADN04019972.1	chrUn_NT_476394v1
AADN04019835.1	chrUn_NT_476294v1
AADN04019837.1	chrUn_NT_476296v1
AADN04019840.1	chrUn_NT_476298v1
AADN04019838.1	chrUn_NT_476297v1
AADN04019841.1	chrUn_NT_476299v1
AADN04019843.1	chrUn_NT_476300v1
AADN04019896.1	chr1_NT_457527v1_random
AADN04019845.1	chrUn_NT_476302v1
AADN04019849.1	chrUn_NT_476305v1
AADN04019913.1	chr14_NT_462437v1_random
AADN04019846.1	chrUn_NT_476303v1
AADN04019848.1	chrUn_NT_476304v1
AADN04019850.1	chrUn_NT_476306v1
AADN04019851.1	chrUn_NT_476307v1
AADN04019830.1	chr21_NT_462993v1_random
AADN04019878.1	chrUn_NT_476323v1
AADN04019888.1	chr9_NT_461700v1_random
AADN04019852.1	chrUn_NT_476308v1
AADN04019861.1	chrUn_NT_476312v1
AADN04019853.1	chr8_NT_461535v1_random
AADN04019871.1	chrUn_NT_476317v1
AADN04019857.1	chrUn_NT_476309v1
AADN04019858.1	chrUn_NT_476310v1
AADN04019860.1	chrUn_NT_476311v1
AADN04019889.1	chr12_NT_462157v1_random
AADN04019866.1	chr3_NT_459643v1_random
AADN04019863.1	chrUn_NT_476313v1
AADN04019867.1	chrUn_NT_476314v1
AADN04019862.1	chr18_NT_462699v1_random
AADN04019872.1	chrUn_NT_476318v1
AADN04019868.1	chrUn_NT_476315v1
AADN04019869.1	chrUn_NT_476316v1
AADN04019873.1	chrUn_NT_476319v1
AADN04019875.1	chrUn_NT_476320v1
AADN04019876.1	chrUn_NT_476321v1
AADN04019946.1	chr4_NT_460291v1_random
AADN04019877.1	chrUn_NT_476322v1
AADN04019879.1	chrUn_NT_476324v1
AADN04019905.1	chrUn_NT_476341v1
AADN04019880.1	chrUn_NT_476325v1
AADN04019883.1	chrUn_NT_476327v1
AADN04019898.1	chr2_NT_458797v1_random
AADN04019881.1	chrUn_NT_476326v1
AADN04019884.1	chrUn_NT_476328v1
AADN04019885.1	chrUn_NT_476329v1
AADN04019886.1	chr22_NT_463068v1_random
AADN04019887.1	chr10_NT_461835v1_random
AADN04019891.1	chr1_NT_457526v1_random
AADN04019892.1	chrUn_NT_476331v1
AADN04019893.1	chrUn_NT_476332v1
AADN04019961.1	chrUn_NT_476385v1
AADN04019973.1	chr10_NT_461836v1_random
AADN04019890.1	chrUn_NT_476330v1
AADN04019894.1	chrUn_NT_476333v1
AADN04019897.1	chrUn_NT_476334v1
AADN04019957.1	chr11_NT_462001v1_random
AADN04019899.1	chrUn_NT_476335v1
AADN04019900.1	chrUn_NT_476336v1
AADN04019901.1	chrUn_NT_476337v1
AADN04019956.1	chr7_NT_461267v1_random
AADN04019902.1	chrUn_NT_476338v1
AADN04019906.1	chrUn_NT_476342v1
AADN04019903.1	chrUn_NT_476339v1
AADN04019911.1	chrUn_NT_476347v1
AADN04019907.1	chrUn_NT_476343v1
AADN04019916.1	chrUn_NT_476351v1
AADN04019960.1	chr14_NT_462438v1_random
AADN04019908.1	chrUn_NT_476344v1
AADN04019947.1	chr3_NT_459646v1_random
AADN04024286.1	chr3_NT_459786v1_random
AADN04019909.1	chrUn_NT_476345v1
AADN04019910.1	chrUn_NT_476346v1
AADN04019904.1	chrUn_NT_476340v1
AADN04019912.1	chrUn_NT_476348v1
AADN04019934.1	chr2_NT_458798v1_random
AADN04019945.1	chr4_NT_460290v1_random
AADN04019941.1	chr1_NT_457528v1_random
AADN04019914.1	chrUn_NT_476349v1
AADN04019915.1	chrUn_NT_476350v1
AADN04019917.1	chrUn_NT_476352v1
AADN04019919.1	chrUn_NT_476354v1
AADN04019922.1	chrUn_NT_476356v1
AADN04024529.1	chrUn_NT_479370v1
AADN04019924.1	chrUn_NT_476358v1
AADN04019925.1	chrUn_NT_476359v1
AADN04019926.1	chrUn_NT_476360v1
AADN04019923.1	chrUn_NT_476357v1
AADN04019928.1	chrUn_NT_476362v1
AADN04019930.1	chrUn_NT_476364v1
AADN04019927.1	chrUn_NT_476361v1
AADN04019929.1	chrUn_NT_476363v1
AADN04019931.1	chrUn_NT_476365v1
AADN04019932.1	chrUn_NT_476366v1
AADN04019933.1	chrUn_NT_476367v1
AADN04019918.1	chrUn_NT_476353v1
AADN04019935.1	chrUn_NT_476368v1
AADN04019936.1	chrUn_NT_476369v1
AADN04019942.1	chr3_NT_459645v1_random
AADN04019921.1	chrUn_NT_476355v1
AADN04019939.1	chrUn_NT_476372v1
AADN04019975.1	chr3_NT_459647v1_random
AADN04019937.1	chrUn_NT_476370v1
AADN04019938.1	chrUn_NT_476371v1
AADN04019963.1	chr4_NT_460292v1_random
AADN04019940.1	chrUn_NT_476373v1
AADN04019943.1	chrUn_NT_476374v1
AADN04019944.1	chrUn_NT_476375v1
AADN04019951.1	chrUn_NT_476379v1
AADN04020008.1	chrUn_NT_476418v1
AADN04019974.1	chr12_NT_462158v1_random
AADN04013936.1	chrZ_NT_464037v1_random
AADN04019948.1	chrUn_NT_476376v1
AADN04019949.1	chrUn_NT_476377v1
AADN04019952.1	chrUn_NT_476380v1
AADN04019953.1	chr1_NT_457529v1_random
AADN04019983.1	chr2_NT_458799v1_random
AADN04019950.1	chrUn_NT_476378v1
AADN04019954.1	chrUn_NT_476381v1
AADN04019955.1	chrUn_NT_476382v1
AADN04019991.1	chrUn_NT_476404v1
AADN04019964.1	chrUn_NT_476387v1
AADN04019958.1	chrUn_NT_476383v1
AADN04019959.1	chrUn_NT_476384v1
AADN04019970.1	chr27_NT_463361v1_random
AADN04019999.1	chrUn_NT_476410v1
AADN04019967.1	chrUn_NT_476390v1
AADN04020090.1	chr8_NT_461538v1_random
AADN04019962.1	chrUn_NT_476386v1
AADN04019989.1	chr13_NT_462310v1_random
AADN04019965.1	chrUn_NT_476388v1
AADN04020011.1	chr2_NT_458800v1_random
AADN04019968.1	chrUn_NT_476391v1
AADN04019969.1	chrUn_NT_476392v1
AADN04019971.1	chrUn_NT_476393v1
AADN04020000.1	chr1_NT_457533v1_random
AADN04019966.1	chrUn_NT_476389v1
AADN04019976.1	chrUn_NT_476395v1
AADN04019993.1	chr1_NT_457532v1_random
AADN04024182.1	chr2_NT_458948v1_random
AADN04020023.1	chr4_NT_460293v1_random
AADN04019977.1	chr1_NT_457530v1_random
AADN04019980.1	chrUn_NT_476397v1
AADN04019978.1	chr17_NT_462634v1_random
AADN04019979.1	chrUn_NT_476396v1
AADN04019981.1	chrUn_NT_476398v1
AADN04019982.1	chrUn_NT_476399v1
AADN04019985.1	chrUn_NT_476400v1
AADN04019987.1	chrUn_NT_476402v1
AADN04020079.1	chr7_NT_461269v1_random
AADN04019986.1	chrUn_NT_476401v1
AADN04020038.1	chr2_NT_458801v1_random
AADN04019988.1	chrUn_NT_476403v1
AADN04019990.1	chr7_NT_461268v1_random
AADN04019992.1	chrUn_NT_476405v1
AADN04020005.1	chrUn_NT_476415v1
AADN04019996.1	chrUn_NT_476407v1
AADN04019997.1	chrUn_NT_476408v1
AADN04019998.1	chrUn_NT_476409v1
AADN04020003.1	chrUn_NT_476413v1
AADN04019995.1	chr9_NT_461701v1_random
AADN04020004.1	chrUn_NT_476414v1
AADN04019994.1	chrUn_NT_476406v1
AADN04020002.1	chrUn_NT_476412v1
AADN04019984.1	chr1_NT_457531v1_random
AADN04020001.1	chrUn_NT_476411v1
AADN04020006.1	chrUn_NT_476416v1
AADN04020010.1	chrUn_NT_476420v1
AADN04020007.1	chrUn_NT_476417v1
AADN04020009.1	chrUn_NT_476419v1
AADN04020044.1	chr27_NT_463362v1_random
AADN04020015.1	chrUn_NT_476423v1
AADN04020012.1	chrUn_NT_476421v1
AADN04020014.1	chrUn_NT_476422v1
AADN04020025.1	chrUn_NT_476429v1
AADN04020016.1	chrUn_NT_476424v1
AADN04020020.1	chr1_NT_457534v1_random
AADN04020013.1	chr3_NT_459648v1_random
AADN04020018.1	chrUn_NT_476425v1
AADN04020037.1	chrUn_NT_476436v1
AADN04020040.1	chr17_NT_462635v1_random
AADN04020019.1	chrUn_NT_476426v1
AADN04020033.1	chr9_NT_461702v1_random
AADN04020021.1	chrUn_NT_476427v1
AADN04020022.1	chrUn_NT_476428v1
AADN04020024.1	chr13_NT_462311v1_random
AADN04020031.1	chrUn_NT_476433v1
KQ759734.1	chrUn_NT_476430v1
AADN04020072.1	chrUn_NT_476456v1
AADN04020084.1	chr7_NT_461270v1_random
AADN04020028.1	chrUn_NT_476431v1
AADN04020039.1	chr8_NT_461536v1_random
AADN04020069.1	chr1_NT_457537v1_random
AADN04020029.1	chr16_NT_462564v1_random
AADN04020030.1	chrUn_NT_476432v1
AADN04020087.1	chr5_NT_460748v1_random
AADN04020068.1	chrUn_NT_476454v1
AADN04020124.1	chrUn_NT_476492v1
AADN04020035.1	chr25_NT_463261v1_random
AADN04020036.1	chrUn_NT_476435v1
AADN04020061.1	chr11_NT_462002v1_random
AADN04020034.1	chrUn_NT_476434v1
AADN04020041.1	chr1_NT_457535v1_random
AADN04020042.1	chrUn_NT_476437v1
AADN04020032.1	chr3_NT_459649v1_random
AADN04020043.1	chrUn_NT_476438v1
AADN04020076.1	chr2_NT_458805v1_random
AADN04020104.1	chr1_NT_457539v1_random
AADN04020058.1	chrUn_NT_476447v1
AADN04020071.1	chr12_NT_462159v1_random
AADN04020046.1	chrUn_NT_476439v1
AADN04020047.1	chr22_NT_463069v1_random
AADN04020050.1	chr2_NT_458803v1_random
AADN04020065.1	chr8_NT_461537v1_random
AADN04020067.1	chr2_NT_458804v1_random
AADN04020048.1	chrUn_NT_476440v1
AADN04020049.1	chrUn_NT_476441v1
AADN04020053.1	chrUn_NT_476443v1
AADN04020052.1	chrUn_NT_476442v1
AADN04020055.1	chrUn_NT_476445v1
AADN04020059.1	chrUn_NT_476448v1
AADN04020056.1	chr1_NT_457536v1_random
AADN04020057.1	chrUn_NT_476446v1
AADN04020073.1	chrUn_NT_476457v1
AADN04020054.1	chrUn_NT_476444v1
AADN04020062.1	chrUn_NT_476450v1
AADN04020066.1	chrUn_NT_476453v1
AADN04020060.1	chrUn_NT_476449v1
AADN04020063.1	chrUn_NT_476451v1
AADN04020064.1	chrUn_NT_476452v1
AADN04020091.1	chr20_NT_462915v1_random
AADN04020097.1	chr2_NT_458807v1_random
AADN04020080.1	chrUn_NT_476461v1
AADN04020070.1	chrUn_NT_476455v1
AADN04020075.1	chrUn_NT_476459v1
AADN04020112.1	chr4_NT_460295v1_random
AADN04020074.1	chrUn_NT_476458v1
AADN04020077.1	chrUn_NT_476460v1
AADN04020078.1	chr6_NT_461034v1_random
AADN04020045.1	chr2_NT_458802v1_random
AADN04020083.1	chrUn_NT_476464v1
AADN04020081.1	chrUn_NT_476462v1
AADN04020082.1	chrUn_NT_476463v1
AADN04020085.1	chrUn_NT_476465v1
AADN04020086.1	chrUn_NT_476466v1
AADN04020115.1	chr4_NT_460296v1_random
AADN04020126.1	chr2_NT_458809v1_random
AADN04020088.1	chrUn_NT_476467v1
AADN04020089.1	chr2_NT_458806v1_random
AADN04020107.1	chr10_NT_461837v1_random
AADN04020092.1	chrUn_NT_476468v1
AADN04020098.1	chrUn_NT_476472v1
AADN04020093.1	chrUn_NT_476469v1
AADN04020094.1	chr5_NT_460749v1_random
AADN04020096.1	chrUn_NT_476471v1
AADN04020095.1	chrUn_NT_476470v1
AADN04020099.1	chrUn_NT_476473v1
AADN04020100.1	chr1_NT_457538v1_random
AADN04020101.1	chrUn_NT_476474v1
AADN04020102.1	chrUn_NT_476475v1
AADN04020103.1	chrUn_NT_476476v1
AADN04020106.1	chrUn_NT_476478v1
AADN04020131.1	chrUn_NT_476496v1
AADN04020108.1	chrUn_NT_476479v1
AADN04020111.1	chrUn_NT_476482v1
AADN04020123.1	chrUn_NT_476491v1
AADN04001459.1	chrZ_NT_463646v1_random
AADN04002329.1	chrZ_NT_463696v1_random
AADN04020105.1	chrUn_NT_476477v1
AADN04020130.1	chr19_NT_462782v1_random
AADN04020109.1	chrUn_NT_476480v1
AADN04020110.1	chrUn_NT_476481v1
AADN04020114.1	chrUn_NT_476484v1
AADN04020113.1	chrUn_NT_476483v1
AADN04024542.1	chrUn_NT_479383v1
AADN04020116.1	chrUn_NT_476485v1
AADN04020117.1	chrUn_NT_476486v1
AADN04020122.1	chr2_NT_458808v1_random
AADN04020141.1	chr4_NT_460297v1_random
AADN04020119.1	chrUn_NT_476488v1
AADN04020120.1	chrUn_NT_476489v1
AADN04020121.1	chrUn_NT_476490v1
AADN04020129.1	chr1_NT_457540v1_random
AADN04020125.1	chrUn_NT_476493v1
AADN04020118.1	chrUn_NT_476487v1
AADN04020127.1	chrUn_NT_476494v1
AADN04020165.1	chr1_NT_457541v1_random
AADN04020132.1	chrUn_NT_476497v1
AADN04020133.1	chrUn_NT_476498v1
AADN04020138.1	chrUn_NT_476503v1
AADN04020175.1	chr15_NT_462530v1_random
AADN04020134.1	chrUn_NT_476499v1
AADN04020136.1	chrUn_NT_476501v1
AADN04020128.1	chrUn_NT_476495v1
AADN04020135.1	chrUn_NT_476500v1
AADN04020137.1	chrUn_NT_476502v1
AADN04020139.1	chrUn_NT_476504v1
AADN04020140.1	chrUn_NT_476505v1
AADN04020162.1	chrUn_NT_476524v1
AADN04020213.1	chr2_NT_458812v1_random
AADN04020143.1	chrUn_NT_476507v1
AADN04020227.1	chr9_NT_461703v1_random
AADN04020142.1	chrUn_NT_476506v1
AADN04020144.1	chrUn_NT_476508v1
AADN04020145.1	chrUn_NT_476509v1
AADN04020160.1	chrUn_NT_476522v1
AADN04020146.1	chrUn_NT_476510v1
AADN04020147.1	chrUn_NT_476511v1
AADN04020149.1	chrUn_NT_476513v1
AADN04020148.1	chrUn_NT_476512v1
AADN04020150.1	chr5_NT_460750v1_random
AADN04020157.1	chrUn_NT_476519v1
AADN04020151.1	chrUn_NT_476514v1
AADN04020152.1	chrUn_NT_476515v1
AADN04020163.1	chrUn_NT_476525v1
AADN04020164.1	chrUn_NT_476526v1
AADN04020153.1	chrUn_NT_476516v1
AADN04020154.1	chr2_NT_458810v1_random
AADN04020159.1	chrUn_NT_476521v1
AADN04020155.1	chrUn_NT_476517v1
AADN04020156.1	chrUn_NT_476518v1
AADN04020158.1	chrUn_NT_476520v1
AADN04020235.1	chr9_NT_461704v1_random
AADN04020161.1	chrUn_NT_476523v1
AADN04020271.1	chrUn_NT_476609v1
AADN04020166.1	chrUn_NT_476527v1
AADN04020167.1	chrUn_NT_476528v1
AADN04020168.1	chrUn_NT_476529v1
AADN04020182.1	chr8_NT_461539v1_random
AADN04020169.1	chrUn_NT_476530v1
AADN04020170.1	chrUn_NT_476531v1
AADN04020171.1	chrUn_NT_476532v1
AADN04020172.1	chrUn_NT_476533v1
AADN04020173.1	chrUn_NT_476534v1
AADN04020174.1	chrUn_NT_476535v1
AADN04020202.1	chr3_NT_459650v1_random
AADN04020176.1	chrUn_NT_476536v1
AADN04020177.1	chrUn_NT_476537v1
AADN04020181.1	chrUn_NT_476541v1
AADN04020178.1	chrUn_NT_476538v1
AADN04020179.1	chrUn_NT_476539v1
AADN04020210.1	chr3_NT_459651v1_random
AADN04020199.1	chr12_NT_462160v1_random
AADN04020180.1	chrUn_NT_476540v1
AADN04020195.1	chr2_NT_458811v1_random
AADN04020196.1	chrUn_NT_476551v1
AADN04020183.1	chrUn_NT_476542v1
AADN04020184.1	chrUn_NT_476543v1
AADN04020224.1	chrUn_NT_476572v1
AADN04020185.1	chrUn_NT_476544v1
AADN04020284.1	chr1_NT_457544v1_random
AADN04020186.1	chrUn_NT_476545v1
AADN04020187.1	chrW_NT_463555v1_random
AADN04020188.1	chr1_NT_457542v1_random
AADN04020192.1	chrUn_NT_476549v1
AADN04020189.1	chrUn_NT_476546v1
AADN04020311.1	chr1_NT_457548v1_random
AADN04020190.1	chrUn_NT_476547v1
AADN04020197.1	chrUn_NT_476552v1
AADN04020191.1	chrUn_NT_476548v1
AADN04020194.1	chr19_NT_462783v1_random
AADN04020193.1	chrUn_NT_476550v1
AADN04024059.1	chr1_NT_457774v1_random
AADN04020198.1	chrUn_NT_476553v1
AADN04020201.1	chrUn_NT_476555v1
AADN04020242.1	chr8_NT_461541v1_random
AADN04020200.1	chrUn_NT_476554v1
AADN04020220.1	chr4_NT_460298v1_random
AADN04020228.1	chr8_NT_461540v1_random
AADN04020203.1	chrUn_NT_476556v1
AADN04024058.1	chr1_NT_457773v1_random
AADN04020204.1	chrUn_NT_476557v1
AADN04020205.1	chrUn_NT_476558v1
AADN04020206.1	chrUn_NT_476559v1
AADN04020208.1	chrUn_NT_476561v1
AADN04020211.1	chrUn_NT_476563v1
KQ759735.1	chrUn_NT_476566v1
AADN04020209.1	chrUn_NT_476562v1
AADN04020212.1	chrUn_NT_476564v1
AADN04020207.1	chrUn_NT_476560v1
AADN04020214.1	chrUn_NT_476565v1
AADN04020222.1	chrUn_NT_476570v1
AADN04020217.1	chr25_NT_463262v1_random
AADN04020218.1	chrUn_NT_476567v1
AADN04020219.1	chrUn_NT_476568v1
AADN04020221.1	chrUn_NT_476569v1
AADN04020257.1	chr1_NT_457543v1_random
AADN04020223.1	chrUn_NT_476571v1
AADN04020293.1	chrUn_NT_476620v1
AADN04020225.1	chrUn_NT_476573v1
AADN04020229.1	chrUn_NT_476575v1
AADN04020230.1	chrUn_NT_476576v1
AADN04020243.1	chrUn_NT_476586v1
AADN04020256.1	chrUn_NT_476596v1
AADN04020285.1	chr1_NT_457545v1_random
AADN04020232.1	chrUn_NT_476578v1
AADN04020233.1	chrUn_NT_476579v1
AADN04020234.1	chrUn_NT_476580v1
AADN04020236.1	chrUn_NT_476581v1
AADN04020239.1	chrUn_NT_476584v1
AADN04020322.1	chr7_NT_461271v1_random
AADN04020238.1	chrUn_NT_476583v1
AADN04020240.1	chrUn_NT_476585v1
AADN04020231.1	chrUn_NT_476577v1
AADN04020237.1	chrUn_NT_476582v1
AADN04020248.1	chr28_NT_463411v1_random
AADN04020255.1	chr2_NT_458813v1_random
AADN04020266.1	chrUn_NT_476604v1
AADN04020226.1	chrUn_NT_476574v1
AADN04020245.1	chrUn_NT_476588v1
AADN04020246.1	chrUn_NT_476589v1
AADN04020247.1	chrUn_NT_476590v1
AADN04020273.1	chrUn_NT_476610v1
AADN04020244.1	chrUn_NT_476587v1
AADN04020249.1	chrUn_NT_476591v1
AADN04020250.1	chrUn_NT_476592v1
AADN04020282.1	chr24_NT_463183v1_random
AADN04020252.1	chrUn_NT_476594v1
AADN04020258.1	chrUn_NT_476597v1
AADN04020259.1	chrUn_NT_476598v1
AADN04020260.1	chrUn_NT_476599v1
AADN04020263.1	chr6_NT_461035v1_random
AADN04020251.1	chrUn_NT_476593v1
AADN04020261.1	chrUn_NT_476600v1
AADN04020262.1	chrUn_NT_476601v1
AADN04020283.1	chr11_NT_462003v1_random
AADN04020281.1	chr2_NT_458815v1_random
AADN04020264.1	chrUn_NT_476602v1
AADN04020275.1	chr3_NT_459652v1_random
KQ759736.1	chrUn_NT_476595v1
AADN04020265.1	chrUn_NT_476603v1
AADN04020267.1	chrUn_NT_476605v1
AADN04020268.1	chrUn_NT_476606v1
AADN04020269.1	chrUn_NT_476607v1
AADN04020270.1	chrUn_NT_476608v1
AADN04020276.1	chrUn_NT_476612v1
AADN04020272.1	chr2_NT_458814v1_random
AADN04020286.1	chr4_NT_460299v1_random
AADN04020280.1	chrUn_NT_476616v1
AADN04020277.1	chrUn_NT_476613v1
AADN04020278.1	chrUn_NT_476614v1
AADN04020279.1	chrUn_NT_476615v1
AADN04020289.1	chr8_NT_461542v1_random
AADN04020335.1	chr5_NT_460751v1_random
AADN04004799.1	chrZ_NT_463817v1_random
AADN04020317.1	chr17_NT_462636v1_random
AADN04020347.1	chr12_NT_462161v1_random
